model,noise_type,auroc,f1,sensitivity,specificity,tn,fp,fn,tp
ECGMamba-BiLSTM d128 h64 n2,bw,0.978436776540624,0.9552238805970148,0.9531914893617022,0.9481865284974094,183,10,11,224
ECGMamba-BiSSM,bw,0.97129313195899,0.9166666666666666,0.8893617021276595,0.9378238341968912,181,12,26,209
ECGMamba-BiMamba d128 n2 s64,bw,0.94609194135156,0.7401574803149606,1.0,0.1450777202072538,28,165,0,235
CNN1D c256 n3 k7,bw,0.8896262815566089,0.7393364928909952,0.9957446808510638,0.1502590673575129,29,164,1,234
BiLSTM h128 n2 bi,bw,0.5661999779517143,0.7088989441930619,1.0,0.0,0,193,0,235
Mamba d128 n4 s64,bw,0.8294565097563665,0.7085427135678392,0.6,0.8860103626943006,171,22,94,141
ECGMamba-BiLSTM d128 h64 n2,em,0.8701135486715907,0.7843137254901961,0.9361702127659576,0.4507772020725388,87,106,15,220
ECGMamba-BiSSM,em,0.7890420019843457,0.7304075235109718,0.9914893617021276,0.1191709844559585,23,170,2,233
Mamba d128 n4 s64,em,0.7090949178701357,0.7243816254416962,0.8723404255319149,0.3471502590673575,67,126,30,205
CNN1D c256 n3 k7,em,0.7718443391026348,0.715372907153729,1.0,0.0310880829015544,6,187,0,235
BiLSTM h128 n2 bi,em,0.5512071436445816,0.7088989441930619,1.0,0.0,0,193,0,235
ECGMamba-BiMamba d128 n2 s64,em,0.7857788556939698,0.7088989441930619,1.0,0.0,0,193,0,235
ECGMamba-BiLSTM d128 h64 n2,ma,0.9095358835850512,0.8027681660899654,0.9872340425531916,0.4248704663212435,82,111,3,232
ECGMamba-BiSSM,ma,0.8861867489802667,0.7684729064039408,0.9957446808510638,0.2746113989637305,53,140,1,234
Mamba d128 n4 s64,ma,0.6417043324881491,0.7158555729984302,0.9702127659574468,0.0984455958549222,19,174,7,228
CNN1D c256 n3 k7,ma,0.8488149046411642,0.7145038167938931,0.9957446808510638,0.0362694300518134,7,186,1,234
ECGMamba-BiMamba d128 n2 s64,ma,0.8062176165803109,0.7099697885196374,1.0,0.005181347150259,1,192,0,235
BiLSTM h128 n2 bi,ma,0.5427846984896925,0.7088989441930619,1.0,0.0,0,193,0,235
